SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
Chatra,2022,23.43743937,32.3229112,3,4.99466883,41.86702093,82.03372441,127.2847684,222.8274927,253.1537176,82.7711444,11,12.00385672,896.6967446,NO
Chengalpattu,2022,29.64203422,2,7.53711,4.6997999,28.4606739,40.02349782,77.1240006,65.78514581,49.00306557,67.7073519,190.214983,136.8936029,699.0912656,NO
Chennai,2022,33.4126279,2,3.878987,4,25.8759414,65.7344909,48.971623,38.5804787,24.48262843,45.342574,127.4654036,69.64825509,489.39301,NO
Chhatarpur,2022,85.7411361,2.21184022,3.742395,4,24.36825114,96.60239502,209.2306807,391.4108141,183.9738474,149.1679516,11.00420083,12.03530154,1173.488814,NO
Chhindwara,2022,38.930331,8.49661257,4.2804645,4.0968919,11.25427241,149.1772699,592.22642,493.3289052,261.1170346,85.28653037,11,13.87225969,1673.066992,NO
Chhota Udepur,2022,0,0,0,0,0,0,0,0,0,57.36585,0,0,57.36585,NO
Chhotaudepur,2022,2.90164694,2,3.0118278,4,5,57.17490717,657.195155,225.705702,114.1459158,0,11,13.00086145,1095.136016,NO
Chik Ballapur,2022,0,0,0,0,0,0,0,0,0,89.10643,0,0,89.10643,NO
Chikkaballapura,2022,3.31072623,2,9.58154032,24.07534882,155.2471034,154.0768542,77.77227605,261.0727097,122.9525868,0,25.16538679,87.2833897,922.537922,NO
Chikkamagaluru,2022,3.06375,2,38.8408729,88.97235376,204.2786538,158.7024268,635.233732,410.381043,212.537643,63.424021,16.56378171,45.11319714,1879.111475,NO
Chirang,2022,24.239437,78.9899191,43.1500542,492.514642,495.2259321,1584.625466,196.4685163,364.7965621,301.8502956,179.58845,11.66700305,12.18370181,3785.299979,YES
Chitradurga,2022,1.3001702,2,9.8838145,38.01811095,176.9783366,87.78461586,116.9509361,231.4599314,138.1400568,143.0829658,19.30411625,41.09855704,1006.001611,NO
Chitrakoot,2022,72.1416674,2.0126259,3,4,12.143734,51.160374,217.810621,359.3469118,300.4321589,182.5472,11,12.00090349,1227.596196,NO
Chittaurgarh,2022,0,0,0,0,0,0,0,0,0,85.0658963,0,0,85.0658963,NO
Chittoor,2022,27.160305,2,4.9651455,12.71931012,126.1381392,125.9077919,89.2142353,204.6232988,101.562122,88.006777,92.32318162,161.1390247,1035.759331,NO
Chittorgarh,2022,7.8656791,2,19.3475855,4,9.8449918,51.19431355,400.385479,322.2198019,76.16762972,0,11.00592983,12.00302308,916.0344335,NO
